DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,PDP,PDPxLUT,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7ED,EvoApprox_8x8_8,ASICPruning,all,add8s_7ED,1.988,1.737,0.345,1.392,9,0,32.21,86.11,118.32,264.511,102.132,366.643, High,205.52184,1849.69656,0.5,64.328125,0.3845025509095787,0.4638210842937336,262,-263,90.625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7EL,EvoApprox_8x8_8,ASICPruning,all,add8s_7EL,10.0,1.594,0.309,1.285,11,0,41.578,110.552,152.13,301.602,129.155,430.757, High,242.49522,2667.44742,0.25,63.703857421875,0.39522078407451133,0.4101203357039909,258,-261,75.13427734375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7EQ,EvoApprox_8x8_8,ASICPruning,all,add8s_7EQ,2.079,1.385,0.465,0.92,10,0,32.292,119.687,151.979,335.822,139.718,475.54, High,210.490915,2104.90915,2.5,64.9375,0.3705692292619022,0.511558466634066,263,-260,90.625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7ER,EvoApprox_8x8_8,ASICPruning,all,add8s_7ER,1.65,1.323,0.313,1.01,8,0,15.176,90.743,105.919,299.692,110.318,410.01, High,140.130837,1121.046696,0.5,63.82861328125,0.3827373420030865,0.4397109855256169,260,-261,87.40234375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7FP,EvoApprox_8x8_8,ASICPruning,all,add8s_7FP,1.162,0.869,0.267,0.602,2,0,42.971,39.797,82.768,338.842,67.884,406.726, High,71.925392,143.850784,11.499114990234375,50.533355712890625,0.3180720983731309,0.6901144935785192,322,-198,98.8922119140625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7FS,EvoApprox_8x8_8,ASICPruning,all,add8s_7FS,1.322,1.11,0.259,0.851,2,0,35.698,39.516,75.214,289.557,62.522,352.079, High,83.48754,166.97508,9.75,56.5733642578125,0.2844115561167997,0.7350160183888065,322,-280,98.7396240234375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7GP,EvoApprox_8x8_8,ASICPruning,all,add8s_7GP,1.482,1.001,0.267,0.734,1,0,35.271,27.394,62.665,239.663,48.27,287.933, High,62.727665,62.727665,34.625,53.548095703125,0.2393947289380928,1.3738450945121834,349,-145,99.334716796875
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7H2,EvoApprox_8x8_8,ASICPruning,all,add8s_7H2,10.0,0.569,0.216,0.353,2,0,0.0,33.116,33.116,403.447,65.881,469.328, High,18.843004,37.686008,7.9920654296875,60.768280029296875,0.28350557812148314,1.7018728993821857,292,-210,99.4140625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7HJ,EvoApprox_8x8_8,ASICPruning,all,add8s_7HJ,10.0,1.759,0.313,1.446,13,0,28.679,118.405,147.084,263.744,135.336,399.08, High,258.720756,3363.369828,-0.5,64.3818359375,0.39637158054432925,0.4075088409671854,257,-257,62.5
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7J4,EvoApprox_8x8_8,ASICPruning,all,add8s_7J4,10.0,1.343,0.302,1.041,6,0,6.424,69.008,75.432,235.715,87.015,322.73, High,101.305176,607.831056,23.0,85.9375,1.350524333351574,1.350524333351574,256,-194,89.0625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7JM,EvoApprox_8x8_8,ASICPruning,all,add8s_7JM,10.0,1.692,0.439,1.253,6,0,31.238,63.738,94.976,229.611,80.109,309.72, High,160.699392,964.196352,1.0,63.62890625,0.3840439777197156,0.44611365219557153,262,-260,78.61328125
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7K3,EvoApprox_8x8_8,ASICPruning,all,add8s_7K3,1.181,1.05,0.302,0.748,5,0,8.945,74.288,83.233,357.773,98.991,456.764, High,87.39465,436.97325,1.5,64.625,0.3594030205943861,0.5608238370517052,267,-268,95.3125
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7M8,EvoApprox_8x8_8,ASICPruning,all,add8s_7M8,1.086,0.954,0.302,0.652,3,0,2.833,60.107,62.94,293.965,83.2,377.165, High,60.04476,180.13428,4.5,65.6484375,0.34201160171795786,0.799449665833282,281,-280,97.65625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7ML,EvoApprox_8x8_8,ASICPruning,all,add8s_7ML,10.0,2.125,0.4,1.725,3,0,48.16,35.43,83.59,194.9,48.821,243.721, High,177.62875,532.88625,4.0,63.30523681640625,0.48475474932245494,0.5753272307550781,274,-273,97.6806640625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7Q0,EvoApprox_8x8_8,ASICPruning,all,add8s_7Q0,10.0,1.945,0.362,1.583,11,0,57.162,82.88,140.042,241.869,97.128,338.997, High,272.38169,2996.19859,1.0,64.01470947265625,0.40734205239110427,0.46534255383330286,264,-269,91.73583984375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7QB,EvoApprox_8x8_8,ASICPruning,all,add8s_7QB,1.793,1.435,0.308,1.127,4,0,26.332,54.185,80.517,257.143,72.186,329.329, High,115.541895,462.16758,3.9375,64.03515625,0.3926431902622911,0.6342356359988996,272,-272,97.900390625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7QQ,EvoApprox_8x8_8,ASICPruning,all,add8s_7QQ,1.51,1.297,0.4,0.897,5,0,35.931,70.308,106.239,309.234,91.245,400.479, High,137.791983,688.959915,2.5,63.5732421875,0.4237291841783675,0.5050234267593801,265,-264,95.9228515625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7QY,EvoApprox_8x8_8,ASICPruning,all,add8s_7QY,1.497,1.137,0.259,0.878,3,0,25.668,35.648,61.316,288.338,58.133,346.471, High,69.716292,209.148876,11.25,61.9241943359375,0.35633906815606814,0.8470719331308074,294,-295,98.88916015625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7R4,EvoApprox_8x8_8,ASICPruning,all,add8s_7R4,1.327,1.109,0.259,0.85,4,0,18.207,43.178,61.385,274.906,64.702,339.608, High,68.075965,272.30386,2.5,61.96746826171875,0.3850162779437367,0.6676795386500746,290,-301,98.3795166015625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7RT,EvoApprox_8x8_8,ASICPruning,all,add8s_7RT,1.594,1.397,0.302,1.095,8,0,36.156,89.253,125.409,279.257,107.741,386.998, High,175.196373,1401.570984,2.375,62.6708984375,0.38251901657232756,0.5218578779060533,276,-268,95.794677734375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7TV,EvoApprox_8x8_8,ASICPruning,all,add8s_7TV,1.322,1.024,0.269,0.755,7,0,24.74,111.395,136.135,407.818,139.406,547.224, High,139.40224,975.81568,3.5,62.8125,0.46367018958353273,0.6281083419211785,272,-272,59.765625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7TZ,EvoApprox_8x8_8,ASICPruning,all,add8s_7TZ,10.0,1.301,0.302,0.999,4,0,3.045,48.56,51.605,234.719,66.918,301.637, High,67.138105,268.55242,3.5,64.6875,0.3680983834263262,0.6442339263598511,271,-288,99.45068359375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7VB,EvoApprox_8x8_8,ASICPruning,all,add8s_7VB,1.884,1.607,0.367,1.24,7,0,26.666,81.123,107.789,255.985,98.394,354.379, High,173.216923,1212.518461,0.0,64.604248046875,0.4011870619954413,0.43903686795108793,260,-261,84.58251953125
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7VE,EvoApprox_8x8_8,ASICPruning,all,add8s_7VE,10.0,2.186,0.477,1.709,8,0,16.481,60.774,77.255,199.892,74.305,274.197, High,168.87943,1351.03544,-0.5,64.4921875,0.41880118150428813,0.41880118150428813,256,-256,62.3046875
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7VF,EvoApprox_8x8_8,ASICPruning,all,add8s_7VF,2.382,1.828,0.448,1.38,6,0,48.685,69.981,118.666,248.648,85.126,333.774, High,216.921448,1301.528688,0.5,64.296875,0.3968023338008298,0.4341855458326357,260,-259,83.3740234375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_7XS,EvoApprox_8x8_8,ASICPruning,all,add8s_7XS,10.0,1.761,0.308,1.453,12,0,45.952,126.638,172.59,271.212,142.92,414.132, High,303.93099,3647.17188,-0.25,63.625,0.38528898737065764,0.3926298374751955,257,-258,52.978515625
EvoApprox_8x8_8_ASICPruning_all_config_add8s_8XJ,EvoApprox_8x8_8,ASICPruning,all,add8s_8XJ,1.79,1.363,0.369,0.994,12,0,41.886,159.934,201.82,356.369,181.543,537.912, High,275.08066,3300.96792,-0.25,64.1875,0.38779564109830683,0.39746076090855487,258,-256,34.375
EvoApprox_8x8_8_ASICPruning_all_config_add8s_8ZY,EvoApprox_8x8_8,ASICPruning,all,add8s_8ZY,1.589,1.133,0.302,0.831,7,0,18.079,117.428,135.507,386.336,143.635,529.971, High,153.529431,1074.706017,-0.5,78.125,1.4184594931149688,1.4184594931149688,256,-256,65.8203125
EvoApprox_8x8_8_ASICPruning_all_config_add8s_9CT,EvoApprox_8x8_8,ASICPruning,all,add8s_9CT,1.977,1.581,0.371,1.21,13,0,46.079,139.844,185.923,320.659,158.624,479.283, High,293.944263,3821.275419,-0.5,64.0,0.38779564109830694,0.38779564109830694,256,-256,25.0
