DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_3155,SIGNED_ADD_8x8_8,OvErr_BASE,v1,3155,7,0.944,0.365,0.579,1,2,0,30.589,30.589,179.19,48.219,227.409, High,45,93.97058105,1.018078087,1.9569842027970332,316,-194,99.93133544921875
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_3445,SIGNED_ADD_8x8_8,OvErr_BASE,v1,3445,7,0.876,0.38,0.496,1,2,0,33.592,33.592,190.168,52.657,242.825, High,42,91.90615844726562,1.0141005287600438,2.0118987444084033,305,-205,99.42321777
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_331,SIGNED_ADD_8x8_8,OvErr_BASE,v1,331,1.29,1.191,0.591,0.6,4,2,0,97.553,97.553,243.05,116.111,359.161, High,-24,84.3215332,0.3078729704630279,1.3444010418375263,309,-353,98.31542969
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2121,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2121,1.2649999999999997,1.251,0.655,0.596,3,2,0,69.488,69.488,199.467,85.808,285.27500000000003, High,54.5,111.29632568359375,0.7529195902044585,3.528762639930721,376,-266,99.31793212890625
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_4188,SIGNED_ADD_8x8_8,OvErr_BASE,v1,4188,7,1.178,0.551,0.627,3,2,0,78.42,78.42,246.438,95.713,342.15099999999995, High,114.5,128.99420166015625,1.0624693417696178,4.666706976120798,370,-140,98.98223876953125
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_3980,SIGNED_ADD_8x8_8,OvErr_BASE,v1,3980,7,1.064,0.559,0.505,2,1,0,55.043,55.043,216.149,72.5,288.649, High,70,102.7470703,1.0302819078012868,3.0517477794851904,326,-184,99.50103759765625
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_6420,SIGNED_ADD_8x8_8,OvErr_BASE,v1,6420,7,1.227,0.546,0.681,2,1,0,47.032,47.032,190.46,62.146,252.606, High,-23.5,87.47406005859375,1.0213135313484423,1.5002235251128413,234,-280,99.20806884765625
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2484,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2484,1.4260000000000002,1.215,0.623,0.592,5,2,0,126.733,126.733,284.521,146.494,431.015, High,51.5,96.99511719,1.662905524105091,2.349869022639644,304,-200,94.94018555
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_3904,SIGNED_ADD_8x8_8,OvErr_BASE,v1,3904,7,1.123,0.55,0.573,2,2,0,53.303,53.303,174.62,69.635,244.255, High,78,106.65081787109375,1.091936909217414,3.253384255317016,329,-165,99.17602539
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2933,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2933,7,1.172,0.599,0.573,3,2,0,75.982,75.982,204.104,93.19,297.294, High,31,88.38134766,1.367660127366106,1.4777455152901464,266,-196,98.26049805
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_4779,SIGNED_ADD_8x8_8,OvErr_BASE,v1,4779,7,1.298,0.617,0.681,5,2,0,117.543,117.543,280.959,136.097,417.056, High,-72.5,105.9882813,1.632676223179663,3.206886845,192,-336,94.32373047
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_1789,SIGNED_ADD_8x8_8,OvErr_BASE,v1,1789,1.29,1.167,0.591,0.576,3,2,0,74.119,74.119,216.921,91.711,308.632, High,8,98.50054931640625,0.4436809616561473,2.751623367899525,325,-305,99.35913086
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_4134,SIGNED_ADD_8x8_8,OvErr_BASE,v1,4134,1.2350000000000003,1.128,0.614,0.514,4,2,0,107.432,107.432,281.241,127.216,408.457, High,110.5,126.0563965,1.1794811583387246,4.515300231471305,354,-132,96.89331055
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_1140,SIGNED_ADD_8x8_8,OvErr_BASE,v1,1140,1.2649999999999997,1.251,0.655,0.596,4,2,0,93.57,93.57,258.065,111.496,369.561, High,-39.5,101.2535400390625,0.4526011739014848,2.485239963081471,276,-354,98.30627441
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2308,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2308,7,1.111,0.53,0.581,2,2,0,52.276,52.276,196.887,68.976,265.863, High,48,92.32910156,1.3127375109571762,1.435434692589443,287,-159,98.73046875
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_1144,SIGNED_ADD_8x8_8,OvErr_BASE,v1,1144,7,1.347,0.661,0.686,3,2,0,65.685,65.685,199.086,80.868,279.954, High,-43,100.77700805664062,0.5302925465947322,2.4191292772720647,277,-361,98.61755371
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_6191,SIGNED_ADD_8x8_8,OvErr_BASE,v1,6191,7,0.879,0.372,0.507,1,1,0,32.842,32.842,196.454,51.875,248.329, High,-59,97.90380859,1.0226160037359113,2.6164337449814448,198,-312,99.85198974609375
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_776,SIGNED_ADD_8x8_8,OvErr_BASE,v1,776,1.279,1.259,0.669,0.59,4,2,0,94.911,94.911,222.189,112.676,334.865, High,-34,93.00195313,0.30786974780737697,1.8098277130953884,274,-340,98.72741699
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_5065,SIGNED_ADD_8x8_8,OvErr_BASE,v1,5065,7,0.948,0.372,0.576,1,2,0,30.743,30.743,187.376,48.359,235.735, High,-46,99.56942749023438,1.038455362772865,3.0256590633089417,241,-269,99.89318848
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2052,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2052,1.4340000000000002,1.294,0.715,0.579,4,2,0,93.018,93.018,235.609,110.255,345.86400000000003, High,35.5,103.9785156,0.4696243983171066,3.0215808396852046,352,-280,97.67456055
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_4362,SIGNED_ADD_8x8_8,OvErr_BASE,v1,4362,7,0.954,0.38,0.574,1,1,0,30.818,30.818,175.809,48.277,224.086, High,122.5,134.60040283203125,0.9768456728152811,5.018484735581809,378,-132,99.59259033203125
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_5776,SIGNED_ADD_8x8_8,OvErr_BASE,v1,5776,7,0.877,0.371,0.506,1,1,0,31.527,31.527,191.928,50.419,242.347, High,-70,102.79824829101562,1.0300249372693346,3.024424034507246,189,-321,99.8626709
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_4930,SIGNED_ADD_8x8_8,OvErr_BASE,v1,4930,7,1.012,0.515,0.497,2,2,0,57.803,57.803,231.018,76.064,307.082, High,-46,97.98410034179688,1.2493667702653612,2.9566064107670043,217,-293,99.73449707
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_1203,SIGNED_ADD_8x8_8,OvErr_BASE,v1,1203,7,1.24,0.655,0.585,2,2,0,46.469,46.469,165.641,61.377,227.018, High,-37.5,98.47320556640625,0.9762798149383565,2.2079985386186713,282,-356,99.23553466796875
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_2540,SIGNED_ADD_8x8_8,OvErr_BASE,v1,2540,7,1.389,0.554,0.835,3,2,0,67.223,67.223,217.091,81.974,299.065, High,36,92.7409668,1.3353072181286332,1.8467783135657168,314,-240,99.09973145
SIGNED_ADD_8x8_8_OvErr_BASE_v1_config_809,SIGNED_ADD_8x8_8,OvErr_BASE,v1,809,7,1.313,0.546,0.767,3,2,0,64.768,64.768,179.295,80.236,259.531, High,-25,91.46875,0.4494052143599217,1.6430588318872312,286,-320,99.88098145
